2023-04-07T17:04:03.707 [Log Analyzer: 13596, single] [LogAnalyzer INFO] Build-Mode : Release
2023-04-07T17:04:03.707 [Log Analyzer: 13596, single] [LogAnalyzer INFO] ==================================================================
2023-04-07T17:04:03.708 [Log Analyzer: 13596, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::Initialize ]   Autodesk::LogAnalyzerClient::Initialize 
2023-04-07T17:04:03.708 [Log Analyzer: 13596, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::Initialize ]   connecting to IPC channel... 
2023-04-07T17:04:03.710 [Log Analyzer: 13596, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::Connected ]   Autodesk::LogAnalyzerClient::Connected 
2023-04-07T17:04:03.710 [Log Analyzer: 13596, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::WaitForConnection ]   waiting for connection... 
2023-04-07T22:11:04.365 [Log Analyzer: 13596, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::NewMessageAvailable ]   NewMessageAvailable: {"command":"EXIT_REQUEST","request":{"eventSource":7,"eventTarget":5},"source":"DDA_CORE","target":"DDA_LA","version":"DDA_V1"} 
2023-04-07T22:11:04.367 [Log Analyzer: 13596, single] [LogAnalyzer INFO] [ Autodesk::LogAnalyzerClient::HandleIPCMessage ]   Exit command received. Stop LogAnalyzer 
2023-04-07T22:11:04.368 [Log Analyzer: 13596, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::BreakConnection ]   Autodesk::LogAnalyzerClient::BreakConnection 
2023-04-07T22:11:04.368 [Log Analyzer: 13596, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::BreakConnection ]   destroying IPC channel... 
2023-04-07T22:11:04.368 [Log Analyzer: 13596, single] [LogAnalyzer INFO] [ Autodesk::LogAnalyzerClient::WaitForConnection ]   Finish waiting for connection... 
2023-04-07T22:11:04.368 [Log Analyzer: 13596, single] [LogAnalyzer INFO] [ main ]   Log Analyzer exited 
2023-04-09T16:47:42.670 [Log Analyzer: 10048, single] [LogAnalyzer INFO] ======================== Start LogAnalyzer ========================
2023-04-09T16:47:42.671 [Log Analyzer: 10048, single] [LogAnalyzer INFO] Version : 1.39.0.3
2023-04-09T16:47:42.671 [Log Analyzer: 10048, single] [LogAnalyzer INFO] OS-Name : Windows
2023-04-09T16:47:42.671 [Log Analyzer: 10048, single] [LogAnalyzer INFO] OS-Version : 10.0
2023-04-09T16:47:42.671 [Log Analyzer: 10048, single] [LogAnalyzer INFO] OS-Locale : en-IN
2023-04-09T16:47:42.671 [Log Analyzer: 10048, single] [LogAnalyzer INFO] Running-Mode : root
2023-04-09T16:47:42.671 [Log Analyzer: 10048, single] [LogAnalyzer INFO] Build-Mode : Release
2023-04-09T16:47:42.671 [Log Analyzer: 10048, single] [LogAnalyzer INFO] ==================================================================
